RegId,RegionId,RegionName,RegionTypeId,RegionTypeName,DangerLevel,ValidFrom,ValidTo,NextWarningTime,PublishTime,DangerIncreaseTime,DangerDecreaseTime,MainText,LangKey
229240,3022,Trollheimen,10,A,2,2020-04-11T00:00:00,2020-04-11T23:59:59,2020-04-12T16:00:00,2020-04-10T15:40:16.53,,,Vær varsom i områder med fersk fokksnø. Våte laussnøskred kan løysast ut i solvendte brattheng. Vær forsiktig i områder under skavlar.,1
229385,3022,Trollheimen,10,A,3,2020-04-12T00:00:00,2020-04-12T23:59:59,2020-04-13T16:00:00,2020-04-11T15:41:02.177,,,Krevande forhold. Unngå terrengfeller og bratte heng til nysnøen har stabilisert seg. Fare for naturleg utløyste skred.,1
229516,3022,Trollheimen,10,A,3,2020-04-13T00:00:00,2020-04-13T23:59:59,2020-04-14T16:00:00,2020-04-12T15:33:57.603,,,Kraftig vind og snø gir auka skredfare. Unngå leområde der det samlar seg fersk fokksnø. Naturlig utløste skred kan forekomme .,1
229631,3022,Trollheimen,10,A,3,2020-04-14T00:00:00,2020-04-14T23:59:59,2020-04-15T16:00:00,2020-04-13T15:40:24.947,,,I høyden er ferske fokksnøflak problemet. I lavere områder vil temperaturstigning og regn i den nye snøen gi mulighet for våte løssnøskred.,1
229802,3022,Trollheimen,10,A,4,2020-04-15T00:00:00,2020-04-15T23:59:59,2020-04-16T16:00:00,2020-04-14T13:17:24.393,,,Stigende temperatur vil sammen med kraftig nedbør og vind gi en økning i skredfaren. Det er sannsynlig med store og svært store naturlig utløste skred.,1
229990,3022,Trollheimen,10,A,3,2020-04-16T00:00:00,2020-04-16T23:59:59,2020-04-17T16:00:00,2020-04-15T15:30:35.177,,,Unngå leområder hvor det har samlet seg fersk fokksnø. Naturlig utløste skred kan forekomme i soleksponerte brattheng.,1
231140,3022,Trollheimen,10,A,2,2020-04-17T00:00:00,2020-04-17T23:59:59,2020-04-18T16:00:00,2020-04-16T15:09:34.647,,,Vær forsiktig i bratt og soleksponert terreng midt på dagen og i bratte leområder med fokksnø i høyfjellet.,1
231554,3022,Trollheimen,10,A,3,2020-04-18T00:00:00,2020-04-18T23:59:59,2020-04-19T16:00:00,2020-04-18T09:28:14.037,,,Rask temperaturstigning høyt til fjells gir økt fare for våte løssnø-og flakskred. Vær oppmerksom på skavlbrudd som kan utløse skred i underliggende heng.,1
231527,3022,Trollheimen,10,A,3,2020-04-19T00:00:00,2020-04-19T23:59:59,2020-04-20T16:00:00,2020-04-18T15:44:32.767,,,Temperaturstigning høyt til fjells gir økt fare for våte løssnø-og flakskred. Vær oppmerksom på skavlbrudd som kan utløse skred i underliggende heng.,1
231661,3022,Trollheimen,10,A,3,2020-04-20T00:00:00,2020-04-20T23:59:59,2020-04-21T16:00:00,2020-04-19T15:37:56.587,,,Temperaturstigning høyt til fjells gir økt fare for våte løssnø-og flakskred. Vær oppmerksom på skavlbrudd som kan utløse skred i underliggende heng.,1
231813,3022,Trollheimen,10,A,2,2020-04-21T00:00:00,2020-04-21T23:59:59,2020-04-22T16:00:00,2020-04-20T15:39:14.107,,,Solinnstråling gir økt fare for våte løssnø-og flakskred. Vær oppmerksom på skavlbrudd som kan utløse skred i underliggende heng.,1
231956,3022,Trollheimen,10,A,2,2020-04-22T00:00:00,2020-04-22T23:59:59,2020-04-23T16:00:00,2020-04-21T15:40:39.197,,,Solinnstråling gir auka fare for våte laussnø-og flakskred. Vær merksam ved store skavlar og sigesprekker.,1
232138,3022,Trollheimen,10,A,2,2020-04-23T00:00:00,2020-04-23T23:59:59,2020-04-24T16:00:00,2020-04-22T15:37:49.133,,,Solinnstråling gir auka fare for våte laussnøskred. Vær merksam ved store skavlar og sigesprekker.,1
232261,3022,Trollheimen,10,A,1,2020-04-24T00:00:00,2020-04-24T23:59:59,2020-04-25T16:00:00,2020-04-23T15:37:33.653,,,Generelt gunstige forhold. Hald avstand til fjellsider med glidesprekkar og skavlar,1
232426,3022,Trollheimen,10,A,1,2020-04-25T00:00:00,2020-04-25T23:59:59,2020-04-26T16:00:00,2020-04-24T15:39:40.447,,,Generelt gunstige forhold. Hald avstand til fjellsider med glidesprekkar og skavlar,1
232606,3022,Trollheimen,10,A,1,2020-04-26T00:00:00,2020-04-26T23:59:59,2020-04-27T16:00:00,2020-04-25T15:35:53.617,,,Generelt gunstige forhold. Hold GOD avstand til fjellsider med glidesprekker og skavler.,1
232713,3022,Trollheimen,10,A,1,2020-04-27T00:00:00,2020-04-27T23:59:59,2020-04-28T16:00:00,2020-04-26T15:31:09.71,,,Generelt gunstige forhold. Hold avstand til fjellsider med sigesprekker og skavler,1
